,1,0,2,3,4,5,gen,seed,6
5,928.0,563.0,404.0,92.0,12.0,1.0,5.0,46.0,0.0
0,1003.0,737.0,233.0,25.0,2.0,0.0,0.0,47.0,0.0
1,1000.0,655.0,304.0,40.0,1.0,0.0,1.0,47.0,0.0
2,990.0,611.0,341.0,52.0,6.0,0.0,2.0,47.0,0.0
3,975.0,601.0,365.0,52.0,7.0,0.0,3.0,47.0,0.0
4,946.0,617.0,377.0,55.0,4.0,1.0,4.0,47.0,0.0
5,926.0,596.0,399.0,70.0,9.0,0.0,5.0,47.0,0.0
0,1027.0,680.0,270.0,21.0,2.0,0.0,0.0,48.0,0.0
1,1025.0,601.0,323.0,49.0,2.0,0.0,1.0,48.0,0.0
2,994.0,565.0,379.0,57.0,5.0,0.0,2.0,48.0,0.0
3,958.0,552.0,397.0,84.0,7.0,1.0,3.0,48.0,1.0
4,917.0,539.0,445.0,88.0,9.0,2.0,4.0,48.0,0.0
5,935.0,536.0,411.0,95.0,19.0,3.0,5.0,48.0,1.0
0,1058.0,644.0,264.0,34.0,0.0,0.0,0.0,49.0,0.0
1,1026.0,605.0,313.0,52.0,4.0,0.0,1.0,49.0,0.0
2,1015.0,555.0,361.0,61.0,8.0,0.0,2.0,49.0,0.0
3,997.0,543.0,376.0,75.0,9.0,0.0,3.0,49.0,0.0
4,962.0,504.0,419.0,98.0,15.0,2.0,4.0,49.0,0.0
5,962.0,498.0,422.0,103.0,14.0,1.0,5.0,49.0,0.0
0,1013.0,730.0,235.0,20.0,2.0,0.0,0.0,50.0,0.0
1,1007.0,627.0,315.0,45.0,5.0,1.0,1.0,50.0,0.0
2,982.0,597.0,358.0,55.0,8.0,0.0,2.0,50.0,0.0
3,1029.0,566.0,336.0,57.0,9.0,3.0,3.0,50.0,0.0
4,984.0,579.0,344.0,80.0,12.0,1.0,4.0,50.0,0.0
5,976.0,559.0,377.0,77.0,11.0,0.0,5.0,50.0,0.0
