"gen","scenario","seed","type","h2"
5,"5xAM + VT (5%)",21,"True",0.213163120216217
0,"RM",22,"True",0.24278507560056
1,"RM",22,"True",0.242473037791349
2,"RM",22,"True",0.242785841645304
3,"RM",22,"True",0.24325617686047
4,"RM",22,"True",0.243287897869919
5,"RM",22,"True",0.242227783782174
0,"RM + VT (5%)",22,"True",0.243206607459807
1,"RM + VT (5%)",22,"True",0.232718315065689
2,"RM + VT (5%)",22,"True",0.228430171973116
3,"RM + VT (5%)",22,"True",0.228348077990202
4,"RM + VT (5%)",22,"True",0.227607536856332
5,"RM + VT (5%)",22,"True",0.226895272272634
0,"5xAM",22,"True",0.242468233964207
1,"5xAM",22,"True",0.247294821466204
2,"5xAM",22,"True",0.249970760391119
3,"5xAM",22,"True",0.252834827113333
4,"5xAM",22,"True",0.255044209435179
5,"5xAM",22,"True",0.252677978111973
0,"5xAM + VT (5%)",22,"True",0.243352088075555
1,"5xAM + VT (5%)",22,"True",0.21933329108593
2,"5xAM + VT (5%)",22,"True",0.212084373311173
3,"5xAM + VT (5%)",22,"True",0.211912592680125
4,"5xAM + VT (5%)",22,"True",0.21000868357504
5,"5xAM + VT (5%)",22,"True",0.210185722555526
0,"RM",23,"True",0.252371108241185
1,"RM",23,"True",0.252403877495535
2,"RM",23,"True",0.252316696632248
3,"RM",23,"True",0.251604281519759
4,"RM",23,"True",0.251095340941203
5,"RM",23,"True",0.250622818165411
0,"RM + VT (5%)",23,"True",0.252872245565894
1,"RM + VT (5%)",23,"True",0.241366813638507
2,"RM + VT (5%)",23,"True",0.23707341055088
3,"RM + VT (5%)",23,"True",0.234386118838613
4,"RM + VT (5%)",23,"True",0.23548786338694
5,"RM + VT (5%)",23,"True",0.235475223726446
0,"5xAM",23,"True",0.252484955469062
1,"5xAM",23,"True",0.256499665456494
2,"5xAM",23,"True",0.260222001546266
3,"5xAM",23,"True",0.264309091591429
4,"5xAM",23,"True",0.265356229516131
5,"5xAM",23,"True",0.26729357047593
0,"5xAM + VT (5%)",23,"True",0.252678567965022
1,"5xAM + VT (5%)",23,"True",0.226742345202246
2,"5xAM + VT (5%)",23,"True",0.218881177439642
3,"5xAM + VT (5%)",23,"True",0.218502874759402
4,"5xAM + VT (5%)",23,"True",0.21961315447286
5,"5xAM + VT (5%)",23,"True",0.218810482609888
0,"RM",24,"True",0.249780561308557
1,"RM",24,"True",0.249508594777201
2,"RM",24,"True",0.25014096499932
3,"RM",24,"True",0.249955867322808
4,"RM",24,"True",0.249145942686788
5,"RM",24,"True",0.25261104528389
0,"RM + VT (5%)",24,"True",0.24954114496699
1,"RM + VT (5%)",24,"True",0.240038165063273
2,"RM + VT (5%)",24,"True",0.234134301388141
3,"RM + VT (5%)",24,"True",0.232708705834146
4,"RM + VT (5%)",24,"True",0.230376565536238
5,"RM + VT (5%)",24,"True",0.236069873359066
0,"5xAM",24,"True",0.249458191541798
1,"5xAM",24,"True",0.25462879228446
2,"5xAM",24,"True",0.258650841163013
3,"5xAM",24,"True",0.26107382183221
4,"5xAM",24,"True",0.262108201124223
5,"5xAM",24,"True",0.265480661955576
0,"5xAM + VT (5%)",24,"True",0.24921822787581
1,"5xAM + VT (5%)",24,"True",0.22545687027139
2,"5xAM + VT (5%)",24,"True",0.217533222549341
3,"5xAM + VT (5%)",24,"True",0.217554794874215
4,"5xAM + VT (5%)",24,"True",0.214801572080739
5,"5xAM + VT (5%)",24,"True",0.215981479995924
0,"RM",25,"True",0.242607388942116
1,"RM",25,"True",0.242999738867507
2,"RM",25,"True",0.243171548732234
3,"RM",25,"True",0.241420468114439
4,"RM",25,"True",0.244015668052562
5,"RM",25,"True",0.240689821143143
0,"RM + VT (5%)",25,"True",0.243043059634073
1,"RM + VT (5%)",25,"True",0.233021957685926
2,"RM + VT (5%)",25,"True",0.228507033690048
3,"RM + VT (5%)",25,"True",0.224430701978061
4,"RM + VT (5%)",25,"True",0.227304217116309
5,"RM + VT (5%)",25,"True",0.225485645086756
0,"5xAM",25,"True",0.242641255312829
1,"5xAM",25,"True",0.247513400707077
2,"5xAM",25,"True",0.250127138872204
3,"5xAM",25,"True",0.251339881599438
4,"5xAM",25,"True",0.252725198515615
5,"5xAM",25,"True",0.252737201982029
0,"5xAM + VT (5%)",25,"True",0.242871807323963
1,"5xAM + VT (5%)",25,"True",0.219015304564463
2,"5xAM + VT (5%)",25,"True",0.212696683067308
3,"5xAM + VT (5%)",25,"True",0.210510266888814
4,"5xAM + VT (5%)",25,"True",0.211561623520667
5,"5xAM + VT (5%)",25,"True",0.207120429655762
0,"RM",26,"True",0.247099345034136
1,"RM",26,"True",0.247859468507285
2,"RM",26,"True",0.246544843840578
3,"RM",26,"True",0.245885820316219
4,"RM",26,"True",0.24595525928647
5,"RM",26,"True",0.254770229905426
0,"RM + VT (5%)",26,"True",0.247716150441244
1,"RM + VT (5%)",26,"True",0.237696947199126
2,"RM + VT (5%)",26,"True",0.233067094162487
3,"RM + VT (5%)",26,"True",0.231794108855685
4,"RM + VT (5%)",26,"True",0.230703012618542
5,"RM + VT (5%)",26,"True",0.232736568752514
0,"5xAM",26,"True",0.247479401747317
1,"5xAM",26,"True",0.251858009690443
2,"5xAM",26,"True",0.256605021400985
3,"5xAM",26,"True",0.257916709256069
4,"5xAM",26,"True",0.259359052501012
5,"5xAM",26,"True",0.260610658983306
0,"5xAM + VT (5%)",26,"True",0.247848014413354
1,"5xAM + VT (5%)",26,"True",0.222604895640909
2,"5xAM + VT (5%)",26,"True",0.216715116810928
3,"5xAM + VT (5%)",26,"True",0.215102922177313
4,"5xAM + VT (5%)",26,"True",0.2124607154918
5,"5xAM + VT (5%)",26,"True",0.214258645164853
0,"RM",27,"True",0.253239659242533
1,"RM",27,"True",0.253354190276266
2,"RM",27,"True",0.254072411805191
3,"RM",27,"True",0.252548823299931
4,"RM",27,"True",0.252177783406436
5,"RM",27,"True",0.250878610353153
0,"RM + VT (5%)",27,"True",0.252838544014875
1,"RM + VT (5%)",27,"True",0.241630805448775
2,"RM + VT (5%)",27,"True",0.237835124040016
3,"RM + VT (5%)",27,"True",0.235624151294591
4,"RM + VT (5%)",27,"True",0.2329809418059
5,"RM + VT (5%)",27,"True",0.233589330069877
0,"5xAM",27,"True",0.252478933631337
1,"5xAM",27,"True",0.256984219242185
2,"5xAM",27,"True",0.261232570320942
3,"5xAM",27,"True",0.264782795572771
4,"5xAM",27,"True",0.265715362183237
