"seed","gen","scenario","rmate","args_kphen","args_rmate","args_theta","args_phi","he_rg","rg_true","he_h2","h2_true"
101,3,"5xAM + VT",0.2,5,0.2,0.05,0,0.524023391852503,0.067623113705045,0.713313817977905,0.365996600887342
101,4,"5xAM + VT",0.2,5,0.2,0.05,0,0.540124161704695,0.0670919754522537,0.729069995880127,0.359169605317259
101,5,"5xAM + VT",0.2,5,0.2,0.05,0,0.561162949942844,0.0720795614724781,0.738136053085327,0.350605390731897
101,0,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,-0.00133980025021346,-0.000687559217096578,0.510665166378021,0.509532801961252
101,1,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.316560565243855,0.0322945885999032,0.610495114326477,0.429413790068101
101,2,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.459076454667655,0.0512425626473275,0.674406850337982,0.382706223656758
101,3,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.527030951167657,0.0591535991145138,0.698957526683807,0.351931377016955
101,4,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.566742050241613,0.0640347590671944,0.723420035839081,0.331883238777156
101,5,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.600735355966772,0.0673420868735873,0.720869064331055,0.309083703282162
101,0,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.000810710138898899,-0.000123191611551296,0.497363829612732,0.494612701125893
101,1,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.318244282646609,0.0323743914182654,0.599410688877106,0.419492488947904
101,2,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.473020351800003,0.0552193594555644,0.668671858310699,0.37311663614645
101,3,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.534422473668918,0.063078710460479,0.689578092098236,0.343882567793295
101,4,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.553522903741662,0.0623959195614099,0.693173015117645,0.329221096921572
101,5,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.583444524460414,0.0649670939052928,0.695109856128693,0.310188811721744
101,0,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,4.64242554775732e-05,0.000322143623304171,0.492184925079346,0.488908522906739
101,1,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.318701832048067,0.0332099539082329,0.586739778518677,0.415016757033511
101,2,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.460184158287003,0.0506671164150707,0.653058159351349,0.371555050526448
101,3,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.532457113176746,0.0623015999792314,0.684692013263702,0.345758051525474
101,4,"5xAM + VT + GxE",0.2,5,0.2,0.05,0.05,0.553036090333129,0.0598371101963254,0.693693971633911,0.328688825090601
