"seed","gen","xAM","dx","value"
14,0,"2-variate","ALC",0.2865
15,0,"2-variate","ALC",0.28475
16,0,"2-variate","ALC",0.288125
17,0,"2-variate","ALC",0.293
18,0,"2-variate","ALC",0.29125
19,0,"2-variate","ALC",0.290875
20,0,"2-variate","ALC",0.29275
21,0,"2-variate","ALC",0.2945
22,0,"2-variate","ALC",0.296625
23,0,"2-variate","ALC",0.296
24,0,"2-variate","ALC",0.28925
25,0,"2-variate","ALC",0.30425
26,0,"2-variate","ALC",0.296125
27,0,"2-variate","ALC",0.2945
28,0,"2-variate","ALC",0.29575
29,0,"2-variate","ALC",0.284375
30,0,"2-variate","ALC",0.28475
31,0,"2-variate","ALC",0.2925
32,0,"2-variate","ALC",0.294625
33,0,"2-variate","ALC",0.28675
34,0,"2-variate","ALC",0.293875
35,0,"2-variate","ALC",0.28375
36,0,"2-variate","ALC",0.290375
37,0,"2-variate","ALC",0.292625
38,0,"2-variate","ALC",0.28875
39,0,"2-variate","ALC",0.296
40,0,"2-variate","ALC",0.294
41,0,"2-variate","ALC",0.2985
42,0,"2-variate","ALC",0.291875
43,0,"2-variate","ALC",0.287
44,0,"2-variate","ALC",0.29
45,0,"2-variate","ALC",0.2875
46,0,"2-variate","ALC",0.294875
47,0,"2-variate","ALC",0.29125
48,0,"2-variate","ALC",0.30225
49,0,"2-variate","ALC",0.292125
1,1,"2-variate","ALC",0.2898
2,1,"2-variate","ALC",0.2861
3,1,"2-variate","ALC",0.299025
4,1,"2-variate","ALC",0.287125
5,1,"2-variate","ALC",0.298425
6,1,"2-variate","ALC",0.288825
7,1,"2-variate","ALC",0.298925
8,1,"2-variate","ALC",0.290125
9,1,"2-variate","ALC",0.285175
10,1,"2-variate","ALC",0.286675
11,1,"2-variate","ALC",0.285825
12,1,"2-variate","ALC",0.28915
13,1,"2-variate","ALC",0.293325
14,1,"2-variate","ALC",0.288475
15,1,"2-variate","ALC",0.29165
16,1,"2-variate","ALC",0.2938
17,1,"2-variate","ALC",0.294675
18,1,"2-variate","ALC",0.2974
19,1,"2-variate","ALC",0.296175
20,1,"2-variate","ALC",0.299075
21,1,"2-variate","ALC",0.292375
22,1,"2-variate","ALC",0.296025
23,1,"2-variate","ALC",0.29685
24,1,"2-variate","ALC",0.288675
25,1,"2-variate","ALC",0.29445
26,1,"2-variate","ALC",0.30065
27,1,"2-variate","ALC",0.292475
