"gen","xAM","outcome","pheno_1","pheno_2","value","se","Outcome","Generation"
5,"6-variate","rgHE","MDD","ADHD",0.235259107527345,0.0410167541371233,"hat(italic(r))[HE]","5~gen.~xAM"
0,"6-variate","rgtrue","MDD","ADHD",0.000536026827771783,0.0103881759396448,"italic(r)[score]","0~gen.~xAM"
1,"6-variate","rgtrue","MDD","ADHD",0.0367089247383263,0.0119865404464184,"italic(r)[score]","1~gen.~xAM"
3,"6-variate","rgtrue","MDD","ADHD",0.0772345914673807,0.0162899112018469,"italic(r)[score]","3~gen.~xAM"
5,"6-variate","rgtrue","MDD","ADHD",0.100506437100977,0.0173575431654851,"italic(r)[score]","5~gen.~xAM"
0,"6-variate","rgHE","MDD","ALC",-0.00141325484175228,0.0367885593847194,"hat(italic(r))[HE]","0~gen.~xAM"
1,"6-variate","rgHE","MDD","ALC",0.0405369414175326,0.0297503663215326,"hat(italic(r))[HE]","1~gen.~xAM"
3,"6-variate","rgHE","MDD","ALC",0.114471150232105,0.0373707710085504,"hat(italic(r))[HE]","3~gen.~xAM"
5,"6-variate","rgHE","MDD","ALC",0.161915354708966,0.03485964746666,"hat(italic(r))[HE]","5~gen.~xAM"
0,"6-variate","rgtrue","MDD","ALC",0.00152364712210118,0.0099860763691002,"italic(r)[score]","0~gen.~xAM"
1,"6-variate","rgtrue","MDD","ALC",0.0190577221225305,0.0117537428673934,"italic(r)[score]","1~gen.~xAM"
3,"6-variate","rgtrue","MDD","ALC",0.047528442445843,0.013989537170139,"italic(r)[score]","3~gen.~xAM"
5,"6-variate","rgtrue","MDD","ALC",0.0645871021911534,0.0127702749809816,"italic(r)[score]","5~gen.~xAM"
0,"6-variate","rgHE","MDD","ANX",-0.0120052473255554,0.0370103602525279,"hat(italic(r))[HE]","0~gen.~xAM"
1,"6-variate","rgHE","MDD","ANX",0.067214301519967,0.0305929152303949,"hat(italic(r))[HE]","1~gen.~xAM"
3,"6-variate","rgHE","MDD","ANX",0.17410612611488,0.032151004601735,"hat(italic(r))[HE]","3~gen.~xAM"
5,"6-variate","rgHE","MDD","ANX",0.218897593669773,0.0351336778391054,"hat(italic(r))[HE]","5~gen.~xAM"
0,"6-variate","rgtrue","MDD","ANX",-0.00395390918639951,0.0124468421655297,"italic(r)[score]","0~gen.~xAM"
1,"6-variate","rgtrue","MDD","ANX",0.0352451651289956,0.0127135114055976,"italic(r)[score]","1~gen.~xAM"
3,"6-variate","rgtrue","MDD","ANX",0.0781445367430847,0.0141190365029484,"italic(r)[score]","3~gen.~xAM"
5,"6-variate","rgtrue","MDD","ANX",0.0934492755211269,0.0154183767513485,"italic(r)[score]","5~gen.~xAM"
