"gen","seed","scenario","variable","var_label","value","intercept"
0,100,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.00137232750282787,0
1,100,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.318607760782958,0
2,100,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.45506241442495,0
3,100,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.519348508150357,0
4,100,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.552518797331635,0
5,100,"5xAM + VT","rbeta_HE","hat(italic(r))[beta]",0.571239959966977,0
0,100,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.000459452211256372,0
1,100,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.324488696005521,0
2,100,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.471230963953091,0
3,100,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.530302034673794,0
4,100,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.572527186868004,0
5,100,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.581486966522998,0
0,100,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.00225840165595905,0
1,100,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.3200161404501,0
2,100,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.464047853202353,0
3,100,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.530411205066271,0
4,100,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.565359476771667,0
5,100,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.591762498380174,0
0,100,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.00190964542453865,0
1,100,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.323671199497182,0
2,100,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.461082532014373,0
3,100,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.532150554820312,0
4,100,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.563230658445081,0
5,100,"5xAM + VT + GxE","rbeta_HE","hat(italic(r))[beta]",0.566237329776742,0
0,101,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.00154050149962774,0
1,101,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.104252105775181,0
2,101,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.185148665514844,0
3,101,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.229392176768706,0
4,101,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.276876005304322,0
5,101,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.302729764877699,0
0,101,"5xAM","rbeta_HE","hat(italic(r))[beta]",-0.000949824560593146,0
1,101,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.100716654359688,0
2,101,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.177596361157498,0
3,101,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.23038010100796,0
4,101,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.260342762466664,0
5,101,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.29336794732859,0
0,101,"5xAM","rbeta_HE","hat(italic(r))[beta]",-0.000637463062785237,0
1,101,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.0951998621737507,0
2,101,"5xAM","rbeta_HE","hat(italic(r))[beta]",0.171906082410001,0
