"gen","seed","scenario","power","GWAS","relative_T1R"
4,104,"5xAM + GxE","66%","Sibship",1.02392344497608
5,104,"5xAM + GxE","66%","Sibship",1.11961722488038
0,104,"5xAM + GxE","50%","Sibship",1.003663003663
1,104,"5xAM + GxE","50%","Sibship",0.983516483516484
2,104,"5xAM + GxE","50%","Sibship",1
3,104,"5xAM + GxE","50%","Sibship",1.03296703296703
4,104,"5xAM + GxE","50%","Sibship",0.994505494505494
5,104,"5xAM + GxE","50%","Sibship",1.00549450549451
0,104,"5xAM + GxE","39%","Sibship",1.05252317198764
1,104,"5xAM + GxE","39%","Sibship",0.970133882595262
2,104,"5xAM + GxE","39%","Sibship",0.98249227600412
3,104,"5xAM + GxE","39%","Sibship",1.03295571575695
4,104,"5xAM + GxE","39%","Sibship",1.0010298661174
5,104,"5xAM + GxE","39%","Sibship",0.987641606591144
0,104,"5xAM + VT","66%","Sibship",0.942583732057416
1,104,"5xAM + VT","66%","Sibship",1.03349282296651
2,104,"5xAM + VT","66%","Sibship",0.99043062200957
3,104,"5xAM + VT","66%","Sibship",0.92822966507177
4,104,"5xAM + VT","66%","Sibship",0.885167464114832
5,104,"5xAM + VT","66%","Sibship",0.976076555023924
