"seed","gen","scenario_label","latent_r","args_kphen","args_kmate","args_rmate","he_rg","rg_true","he_h2","h2_true"
104,3,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.100366364522259,0.0458551326663231,0.539543163776398,0.51245064944103
104,4,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.115585890312066,0.0534025995823227,0.546884644031525,0.516921726556797
104,5,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.121662444778775,0.0623438050580326,0.544732797145844,0.509602750658678
105,0,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,-0.0036349652037993,-0.00125194666587896,0.495598360896111,0.497398006825453
105,1,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.0438322733808928,0.0257813167467541,0.510863363742828,0.502260133640669
105,2,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.072520306782565,0.0422299532840028,0.521325498819351,0.505519099227249
105,3,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.122351373593358,0.0528783496689581,0.528225809335709,0.504970678522998
105,4,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.113165620485769,0.0580041865214675,0.527595371007919,0.506167356562961
105,5,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.115998484452784,0.0517814531475777,0.526892960071564,0.502386430905172
105,0,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.000990705682097168,0.000369538629771413,0.494753193855286,0.495313153669374
105,1,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.0468177167055271,0.0239824732004664,0.519597977399826,0.501808075202546
105,2,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.0790929389353648,0.0387016882338614,0.529178869724274,0.503744484620607
105,3,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.103595005139782,0.0490388143082065,0.541229999065399,0.509176095411122
105,4,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.129203142742055,0.0568614873373292,0.5396817445755,0.506781638829229
105,5,"5xAM.0.1 (latent r = 0.5)",0.5,5,5,0.1,0.127239799395098,0.0620464182379498,0.539833271503449,0.498359401259918
106,0,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,6.7692687244746e-05,-0.000345590271099774,0.505390793085098,0.504354596678775
106,1,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.0468584578081237,0.0234040132339261,0.522254377603531,0.506884026798414
106,2,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.074161150633422,0.0351862864671495,0.530124962329865,0.511081012916465
106,3,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.106284877594086,0.0520640246349413,0.538064479827881,0.510913242939628
106,4,"2xAM.0.1 (latent r = 0.2)",0.2,2,2,0.1,0.0833412213911899,0.0483293903561113,0.519223421812057,0.507024611510394
