"seed","gen","variable","value","type","traits"
32,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.01025513244181,"rgHE","edu / height"
32,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.991254398455029,"rgHE","edu / height"
32,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.01700263113919,"rgHE","edu / height"
32,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.11853480761351,"rgHE","edu / height"
32,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.01742749600121,"rgHE","edu / height"
33,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",-0.0821884419320599,"rgHE","edu / height"
33,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.08813525414697,"rgHE","edu / height"
33,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.985718453520395,"rgHE","edu / height"
33,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.962792396574091,"rgHE","edu / height"
33,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.03195995898505,"rgHE","edu / height"
33,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.40535041521325,"rgHE","edu / height"
34,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",0,"rgHE","edu / height"
34,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.00939117516762,"rgHE","edu / height"
34,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.979534387802106,"rgHE","edu / height"
34,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.00640950342668,"rgHE","edu / height"
34,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.97326653905995,"rgHE","edu / height"
34,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.19403631101163,"rgHE","edu / height"
35,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",-0.111040741677402,"rgHE","edu / height"
35,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.934693628820808,"rgHE","edu / height"
35,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.01016248712423,"rgHE","edu / height"
35,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.05764836837987,"rgHE","edu / height"
35,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.927570113082712,"rgHE","edu / height"
35,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.30138191203652,"rgHE","edu / height"
36,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",0,"rgHE","edu / height"
36,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.03804856996285,"rgHE","edu / height"
36,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.980793810389238,"rgHE","edu / height"
36,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.98475669923108,"rgHE","edu / height"
36,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.999010816236578,"rgHE","edu / height"
36,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.49593160876198,"rgHE","edu / height"
37,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.125712265163737,"rgHE","edu / height"
37,1,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.922777990225927,"rgHE","edu / height"
37,2,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.00133309353038,"rgHE","edu / height"
37,3,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.01814134214176,"rgHE","edu / height"
37,4,"rgHE_edu.phenotype.proband_height.phenotype.proband",1.09360529571856,"rgHE","edu / height"
37,5,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.895525754890836,"rgHE","edu / height"
38,0,"rgHE_edu.phenotype.proband_height.phenotype.proband",0.510207513175263,"rgHE","edu / height"
