"gen","scenario","seed","type","rg"
4,"RM",14,"True",-0.00202883743542641
5,"RM",14,"True",-3.53054610441533e-05
0,"RM + VT (5%)",14,"True",7.46720140232701e-05
1,"RM + VT (5%)",14,"True",-0.000819151920903567
2,"RM + VT (5%)",14,"True",-0.000429563354802585
3,"RM + VT (5%)",14,"True",0.00145936697043047
4,"RM + VT (5%)",14,"True",-0.0032512896305663
5,"RM + VT (5%)",14,"True",-0.00159691819883111
0,"5xAM",14,"True",-0.000356393560235258
1,"5xAM",14,"True",0.0229782614195753
2,"5xAM",14,"True",0.0389222109562444
3,"5xAM",14,"True",0.0499507341685386
4,"5xAM",14,"True",0.0588853349982367
5,"5xAM",14,"True",0.06630902407801
0,"5xAM + VT (5%)",14,"True",0.000349131029861746
1,"5xAM + VT (5%)",14,"True",0.0160307959072115
2,"5xAM + VT (5%)",14,"True",0.0318435900754369
3,"5xAM + VT (5%)",14,"True",0.0407828099012195
4,"5xAM + VT (5%)",14,"True",0.0578172843168132
5,"5xAM + VT (5%)",14,"True",0.0601220027526998
0,"RM",15,"True",-3.72711834917961e-05
1,"RM",15,"True",0.000122811252483852
2,"RM",15,"True",0.000109192584002699
3,"RM",15,"True",0.00189788909445419
4,"RM",15,"True",0.00126179745483464
5,"RM",15,"True",-0.00263852251306002
0,"RM + VT (5%)",15,"True",0.000532596057507226
1,"RM + VT (5%)",15,"True",-0.000630203404559308
2,"RM + VT (5%)",15,"True",0.00147924229265848
3,"RM + VT (5%)",15,"True",0.000359934140753204
4,"RM + VT (5%)",15,"True",0.00114622712338603
5,"RM + VT (5%)",15,"True",0.00143067964293912
0,"5xAM",15,"True",-0.000696716009106522
1,"5xAM",15,"True",0.0251778462539274
2,"5xAM",15,"True",0.0416668906838201
3,"5xAM",15,"True",0.0530030259141353
4,"5xAM",15,"True",0.0594488147324294
5,"5xAM",15,"True",0.0601872584436607
0,"5xAM + VT (5%)",15,"True",0.000917161376226277
1,"5xAM + VT (5%)",15,"True",0.0187696538180816
2,"5xAM + VT (5%)",15,"True",0.0331995578337166
3,"5xAM + VT (5%)",15,"True",0.0439091744734174
4,"5xAM + VT (5%)",15,"True",0.0461275228099132
5,"5xAM + VT (5%)",15,"True",0.0526573512071088
0,"RM",16,"True",-0.000930462710433443
1,"RM",16,"True",-0.00138063902328849
2,"RM",16,"True",-0.000975332699790266
3,"RM",16,"True",-0.000330703132259259
4,"RM",16,"True",-0.00177589512360873
5,"RM",16,"True",-0.00236148806095073
0,"RM + VT (5%)",16,"True",-5.30538541402028e-05
1,"RM + VT (5%)",16,"True",-0.000331272007562256
2,"RM + VT (5%)",16,"True",0.000207954160750146
3,"RM + VT (5%)",16,"True",-0.000191286042349643
4,"RM + VT (5%)",16,"True",-0.00391308651789552
5,"RM + VT (5%)",16,"True",-0.00385252095920138
0,"5xAM",16,"True",-0.000701894341534327
1,"5xAM",16,"True",0.0234756385897205
2,"5xAM",16,"True",0.0399699159926573
3,"5xAM",16,"True",0.0554042398111344
4,"5xAM",16,"True",0.0626267068840268
5,"5xAM",16,"True",0.0618901431080965
0,"5xAM + VT (5%)",16,"True",0.000446175737400765
1,"5xAM + VT (5%)",16,"True",0.0181102623152
