"gen","scenario","seed","gwas_type","fpr"
2,"RM + VT (5%)",26,"Population GWAS",0.0499375
3,"RM + VT (5%)",26,"Population GWAS",0.0525625
4,"RM + VT (5%)",26,"Population GWAS",0.0554375
5,"RM + VT (5%)",26,"Population GWAS",0.053125
0,"5xAM",26,"Population GWAS",0.0473125
1,"5xAM",26,"Population GWAS",0.050375
2,"5xAM",26,"Population GWAS",0.052
3,"5xAM",26,"Population GWAS",0.0515
4,"5xAM",26,"Population GWAS",0.0515
5,"5xAM",26,"Population GWAS",0.051625
0,"5xAM + VT (5%)",26,"Population GWAS",0.051125
1,"5xAM + VT (5%)",26,"Population GWAS",0.0550625
2,"5xAM + VT (5%)",26,"Population GWAS",0.0613125
3,"5xAM + VT (5%)",26,"Population GWAS",0.06375
4,"5xAM + VT (5%)",26,"Population GWAS",0.068625
5,"5xAM + VT (5%)",26,"Population GWAS",0.0670625
0,"RM",27,"Population GWAS",0.0486875
1,"RM",27,"Population GWAS",0.0498125
2,"RM",27,"Population GWAS",0.050375
3,"RM",27,"Population GWAS",0.0531875
4,"RM",27,"Population GWAS",0.04825
5,"RM",27,"Population GWAS",0.04875
0,"RM + VT (5%)",27,"Population GWAS",0.0528125
1,"RM + VT (5%)",27,"Population GWAS",0.0525625
2,"RM + VT (5%)",27,"Population GWAS",0.0516875
3,"RM + VT (5%)",27,"Population GWAS",0.0504375
4,"RM + VT (5%)",27,"Population GWAS",0.0515625
5,"RM + VT (5%)",27,"Population GWAS",0.0545625
0,"5xAM",27,"Population GWAS",0.051125
1,"5xAM",27,"Population GWAS",0.051
2,"5xAM",27,"Population GWAS",0.0493125
3,"5xAM",27,"Population GWAS",0.052625
4,"5xAM",27,"Population GWAS",0.0536875
5,"5xAM",27,"Population GWAS",0.0508125
0,"5xAM + VT (5%)",27,"Population GWAS",0.049125
1,"5xAM + VT (5%)",27,"Population GWAS",0.0549375
2,"5xAM + VT (5%)",27,"Population GWAS",0.06025
3,"5xAM + VT (5%)",27,"Population GWAS",0.0680625
4,"5xAM + VT (5%)",27,"Population GWAS",0.0723125
5,"5xAM + VT (5%)",27,"Population GWAS",0.0746875
0,"RM",28,"Population GWAS",0.0505
1,"RM",28,"Population GWAS",0.0488125
2,"RM",28,"Population GWAS",0.05175
3,"RM",28,"Population GWAS",0.0494375
4,"RM",28,"Population GWAS",0.0495625
5,"RM",28,"Population GWAS",0.052
0,"RM + VT (5%)",28,"Population GWAS",0.0468125
1,"RM + VT (5%)",28,"Population GWAS",0.053875
2,"RM + VT (5%)",28,"Population GWAS",0.0544375
3,"RM + VT (5%)",28,"Population GWAS",0.0500625
4,"RM + VT (5%)",28,"Population GWAS",0.0530625
5,"RM + VT (5%)",28,"Population GWAS",0.0538125
0,"5xAM",28,"Population GWAS",0.0498125
1,"5xAM",28,"Population GWAS",0.0505625
2,"5xAM",28,"Population GWAS",0.0503125
3,"5xAM",28,"Population GWAS",0.0515625
4,"5xAM",28,"Population GWAS",0.0504375
5,"5xAM",28,"Population GWAS",0.0531875
0,"5xAM + VT (5%)",28,"Population GWAS",0.05075
1,"5xAM + VT (5%)",28,"Population GWAS",0.057125
2,"5xAM + VT (5%)",28,"Population GWAS",0.060375
3,"5xAM + VT (5%)",28,"Population GWAS",0.06275
4,"5xAM + VT (5%)",28,"Population GWAS",0.0698125
5,"5xAM + VT (5%)",28,"Population GWAS",0.0700625
0,"RM",29,"Population GWAS",0.0505
1,"RM",29,"Population GWAS",0.0505
2,"RM",29,"Population GWAS",0.0506875
3,"RM",29,"Population GWAS",0.051125
4,"RM",29,"Population GWAS",0.0534375
5,"RM",29,"Population GWAS",0.0516875
0,"RM + VT (5%)",29,"Population GWAS",0.048875
1,"RM + VT (5%)",29,"Population GWAS",0.0526875
2,"RM + VT (5%)",29,"Population GWAS",0.055375
3,"RM + VT (5%)",29,"Population GWAS",0.0506875
4,"RM + VT (5%)",29,"Population GWAS",0.0511875
5,"RM + VT (5%)",29,"Population GWAS",0.0554375
0,"5xAM",29,"Population GWAS",0.0513125
1,"5xAM",29,"Population GWAS",0.0516875
2,"5xAM",29,"Population GWAS",0.0503125
3,"5xAM",29,"Population GWAS",0.0543125
4,"5xAM",29,"Population GWAS",0.0530625
5,"5xAM",29,"Population GWAS",0.0519375
0,"5xAM + VT (5%)",29,"Population GWAS",0.04925
1,"5xAM + VT (5%)",29,"Population GWAS",0.0544375
2,"5xAM + VT (5%)",29,"Population GWAS",0.063875
3,"5xAM + VT (5%)",29,"Population GWAS",0.0661875
4,"5xAM + VT (5%)",29,"Population GWAS",0.0716875
5,"5xAM + VT (5%)",29,"Population GWAS",0.0703125
0,"RM",3,"Population GWAS",0.0494375
1,"RM",3,"Population GWAS",0.0481875
2,"RM",3,"Population GWAS",0.051625
3,"RM",3,"Population GWAS",0.0525625
4,"RM",3,"Population GWAS",0.0473125
5,"RM",3,"Population GWAS",0.0519375
0,"RM + VT (5%)",3,"Population GWAS",0.0494375
