"seed","gen","variable","value","Outcome","Quantity"
48,1,"h2HE_height",0.64578253030777,"height","h2_HE"
48,2,"h2HE_height",0.671076655387878,"height","h2_HE"
48,3,"h2HE_height",0.696986615657806,"height","h2_HE"
48,4,"h2HE_height",0.722509562969208,"height","h2_HE"
48,5,"h2HE_height",0.716188073158264,"height","h2_HE"
49,0,"h2HE_height",0.600573718547821,"height","h2_HE"
49,1,"h2HE_height",0.650849938392639,"height","h2_HE"
49,2,"h2HE_height",0.681644201278687,"height","h2_HE"
49,3,"h2HE_height",0.699060916900635,"height","h2_HE"
49,4,"h2HE_height",0.685933649539948,"height","h2_HE"
49,5,"h2HE_height",0.70865261554718,"height","h2_HE"
5,0,"h2HE_height",0.590107381343842,"height","h2_HE"
5,1,"h2HE_height",0.642501413822174,"height","h2_HE"
5,2,"h2HE_height",0.668941497802734,"height","h2_HE"
5,3,"h2HE_height",0.690039157867432,"height","h2_HE"
5,4,"h2HE_height",0.713526368141174,"height","h2_HE"
5,5,"h2HE_height",0.690310001373291,"height","h2_HE"
50,0,"h2HE_height",0.608137845993042,"height","h2_HE"
50,1,"h2HE_height",0.657888472080231,"height","h2_HE"
50,2,"h2HE_height",0.688299298286438,"height","h2_HE"
50,3,"h2HE_height",0.708553612232208,"height","h2_HE"
50,4,"h2HE_height",0.737153053283691,"height","h2_HE"
50,5,"h2HE_height",0.72886860370636,"height","h2_HE"
51,0,"h2HE_height",0.594894647598267,"height","h2_HE"
51,1,"h2HE_height",0.632141947746277,"height","h2_HE"
51,2,"h2HE_height",0.678680002689362,"height","h2_HE"
51,3,"h2HE_height",0.697082459926605,"height","h2_HE"
51,4,"h2HE_height",0.715368986129761,"height","h2_HE"
51,5,"h2HE_height",0.741597592830658,"height","h2_HE"
52,0,"h2HE_height",0.609780251979828,"height","h2_HE"
52,1,"h2HE_height",0.658614933490753,"height","h2_HE"
52,2,"h2HE_height",0.703535676002502,"height","h2_HE"
52,3,"h2HE_height",0.713980376720428,"height","h2_HE"
52,4,"h2HE_height",0.734711825847626,"height","h2_HE"
52,5,"h2HE_height",0.746109545230865,"height","h2_HE"
53,0,"h2HE_height",0.615583717823029,"height","h2_HE"
53,1,"h2HE_height",0.675196468830109,"height","h2_HE"
53,2,"h2HE_height",0.70069694519043,"height","h2_HE"
53,3,"h2HE_height",0.731530845165253,"height","h2_HE"
53,4,"h2HE_height",0.750128448009491,"height","h2_HE"
53,5,"h2HE_height",0.725604116916656,"height","h2_HE"
54,0,"h2HE_height",0.606347262859344,"height","h2_HE"
54,1,"h2HE_height",0.656272709369659,"height","h2_HE"
54,2,"h2HE_height",0.691955745220184,"height","h2_HE"
54,3,"h2HE_height",0.702924728393555,"height","h2_HE"
54,4,"h2HE_height",0.736313879489899,"height","h2_HE"
54,5,"h2HE_height",0.742728292942047,"height","h2_HE"
55,0,"h2HE_height",0.616500616073608,"height","h2_HE"
55,1,"h2HE_height",0.659220337867737,"height","h2_HE"
55,2,"h2HE_height",0.697652041912079,"height","h2_HE"
55,3,"h2HE_height",0.719967424869537,"height","h2_HE"
55,4,"h2HE_height",0.734275758266449,"height","h2_HE"
55,5,"h2HE_height",0.72741711139679,"height","h2_HE"
56,0,"h2HE_height",0.59246701002121,"height","h2_HE"
56,1,"h2HE_height",0.642853796482086,"height","h2_HE"
56,2,"h2HE_height",0.676966726779938,"height","h2_HE"
56,3,"h2HE_height",0.697729647159576,"height","h2_HE"
56,4,"h2HE_height",0.712568283081055,"height","h2_HE"
56,5,"h2HE_height",0.723359346389771,"height","h2_HE"
57,0,"h2HE_height",0.604082345962524,"height","h2_HE"
57,1,"h2HE_height",0.653551280498505,"height","h2_HE"
57,2,"h2HE_height",0.688474655151367,"height","h2_HE"
57,3,"h2HE_height",0.707986950874329,"height","h2_HE"
57,4,"h2HE_height",0.724485278129578,"height","h2_HE"
57,5,"h2HE_height",0.748571336269379,"height","h2_HE"
58,0,"h2HE_height",0.585977137088776,"height","h2_HE"
58,1,"h2HE_height",0.639790296554565,"height","h2_HE"
58,2,"h2HE_height",0.667722046375275,"height","h2_HE"
58,3,"h2HE_height",0.681118488311768,"height","h2_HE"
58,4,"h2HE_height",0.703245282173157,"height","h2_HE"
58,5,"h2HE_height",0.705167233943939,"height","h2_HE"
59,0,"h2HE_height",0.589924454689026,"height","h2_HE"
59,1,"h2HE_height",0.622288465499878,"height","h2_HE"
59,2,"h2HE_height",0.653599560260773,"height","h2_HE"
59,3,"h2HE_height",0.697743356227875,"height","h2_HE"
59,4,"h2HE_height",0.706143796443939,"height","h2_HE"
59,5,"h2HE_height",0.693017482757568,"height","h2_HE"
6,0,"h2HE_height",0.584792971611023,"height","h2_HE"
6,1,"h2HE_height",0.629705548286438,"height","h2_HE"
6,2,"h2HE_height",0.665114223957062,"height","h2_HE"
6,3,"h2HE_height",0.694674849510193,"height","h2_HE"
6,4,"h2HE_height",0.696529150009155,"height","h2_HE"
6,5,"h2HE_height",0.703643441200256,"height","h2_HE"
60,0,"h2HE_height",0.585878670215607,"height","h2_HE"
60,1,"h2HE_height",0.639405608177185,"height","h2_HE"
60,2,"h2HE_height",0.667345345020294,"height","h2_HE"
60,3,"h2HE_height",0.691914916038513,"height","h2_HE"
60,4,"h2HE_height",0.703911066055298,"height","h2_HE"
60,5,"h2HE_height",0.697888970375061,"height","h2_HE"
61,0,"h2HE_height",0.607244729995728,"height","h2_HE"
61,1,"h2HE_height",0.657437801361084,"height","h2_HE"
61,2,"h2HE_height",0.682254672050476,"height","h2_HE"
61,3,"h2HE_height",0.715493083000183,"height","h2_HE"
61,4,"h2HE_height",0.714714229106903,"height","h2_HE"
61,5,"h2HE_height",0.726052820682526,"height","h2_HE"
62,0,"h2HE_height",0.617927014827728,"height","h2_HE"
62,1,"h2HE_height",0.670060694217682,"height","h2_HE"
62,2,"h2HE_height",0.7082479596138,"height","h2_HE"
62,3,"h2HE_height",0.71474152803421,"height","h2_HE"
62,4,"h2HE_height",0.763322174549103,"height","h2_HE"
62,5,"h2HE_height",0.784180641174316,"height","h2_HE"
63,0,"h2HE_height",0.59421569108963,"height","h2_HE"
63,1,"h2HE_height",0.634468853473663,"height","h2_HE"
63,2,"h2HE_height",0.66656082868576,"height","h2_HE"
63,3,"h2HE_height",0.694722056388855,"height","h2_HE"
63,4,"h2HE_height",0.692719340324402,"height","h2_HE"
63,5,"h2HE_height",0.750149309635162,"height","h2_HE"
64,0,"h2HE_height",0.587690234184265,"height","h2_HE"
64,1,"h2HE_height",0.635082006454468,"height","h2_HE"
64,2,"h2HE_height",0.672625482082367,"height","h2_HE"
64,3,"h2HE_height",0.691451609134674,"height","h2_HE"
64,4,"h2HE_height",0.723711371421814,"height","h2_HE"
64,5,"h2HE_height",0.722094118595123,"height","h2_HE"
65,0,"h2HE_height",0.583211064338684,"height","h2_HE"
65,1,"h2HE_height",0.625014305114746,"height","h2_HE"
65,2,"h2HE_height",0.677883088588715,"height","h2_HE"
65,3,"h2HE_height",0.676349818706512,"height","h2_HE"
65,4,"h2HE_height",0.685576319694519,"height","h2_HE"
65,5,"h2HE_height",0.708219051361084,"height","h2_HE"
66,0,"h2HE_height",0.595687866210938,"height","h2_HE"
66,1,"h2HE_height",0.634650766849518,"height","h2_HE"
66,2,"h2HE_height",0.670380473136902,"height","h2_HE"
66,3,"h2HE_height",0.704153776168823,"height","h2_HE"
