"gen","seed","args_rmate","args_kphen","args_theta","args_cnoise","he_rg","rg_true","scenario","CN"
5,102,0.1,5,0,0,0.109856358224651,0.0531028100239668,"5xAM","0"
0,102,0.1,5,0,0,0.00122036151982702,0.000522501018605517,"5xAM","0"
1,102,0.1,5,0,0,0.0516270452258177,0.0250312569456112,"5xAM","0"
2,102,0.1,5,0,0,0.082951969701184,0.0382803069934356,"5xAM","0"
3,102,0.1,5,0,0,0.103920738661542,0.0495958055769791,"5xAM","0"
4,102,0.1,5,0,0,0.128782446253814,0.0572756237849578,"5xAM","0"
5,102,0.1,5,0,0,0.123291932971499,0.0586392349336795,"5xAM","0"
0,102,0.1,5,0,0,0.00104160468366792,0.000673058029612128,"5xAM","0"
1,102,0.1,5,0,0,0.055620323313845,0.0267227014570725,"5xAM","0"
2,102,0.1,5,0,0,0.0901852273349221,0.0430244774518233,"5xAM","0"
3,102,0.1,5,0,0,0.106878170744507,0.0510447868546994,"5xAM","0"
4,102,0.1,5,0,0,0.117236632674836,0.05523686310612,"5xAM","0"
5,102,0.1,5,0,0,0.135075564675915,0.0636871241721842,"5xAM","0"
0,102,0.1,5,0.05,0,0.000593948889157473,0.000175479140523115,"5xAM + VT (5%)","0"
1,102,0.1,5,0.05,0,0.232143613598785,0.0164053392871329,"5xAM + VT (5%)","0"
2,102,0.1,5,0.05,0,0.306761379726306,0.0232005678989681,"5xAM + VT (5%)","0"
3,102,0.1,5,0.05,0,0.341510873443907,0.0305958463573963,"5xAM + VT (5%)","0"
4,102,0.1,5,0.05,0,0.380133526323939,0.0394532410992681,"5xAM + VT (5%)","0"
5,102,0.1,5,0.05,0,0.362963868282759,0.0362810537916175,"5xAM + VT (5%)","0"
0,102,0.1,5,0.05,0,0.00406078915067079,0.000941413556757232,"5xAM + VT (5%)","0"
1,102,0.1,5,0.05,0,0.238322726228366,0.018004247956824,"5xAM + VT (5%)","0"
2,102,0.1,5,0.05,0,0.330564007547004,0.0293652624290751,"5xAM + VT (5%)","0"
3,102,0.1,5,0.05,0,0.35874870142124,0.031034353547982,"5xAM + VT (5%)","0"
4,102,0.1,5,0.05,0,0.354247539289741,0.029041476159862,"5xAM + VT (5%)","0"
5,102,0.1,5,0.05,0,0.330885436219408,0.0272364972342581,"5xAM + VT (5%)","0"
0,102,0.1,5,0.05,0,-5.88468791223676e-05,-0.000495286033802852,"5xAM + VT (5%)","0"
1,102,0.1,5,0.05,0,0.246465524988104,0.0166960431522343,"5xAM + VT (5%)","0"
2,102,0.1,5,0.05,0,0.353132935899524,0.0282290270009754,"5xAM + VT (5%)","0"
3,102,0.1,5,0.05,0,0.388492548376178,0.0316846540910157,"5xAM + VT (5%)","0"
4,102,0.1,5,0.05,0,0.401902907324569,0.0295613837139682,"5xAM + VT (5%)","0"
5,102,0.1,5,0.05,0,0.416858204804305,0.0300140783495349,"5xAM + VT (5%)","0"
0,103,0.1,5,0,0,-0.000470855341115571,0.000485917377332951,"5xAM","0"
1,103,0.1,5,0,0,0.0528673155359285,0.0250145604600656,"5xAM","0"
2,103,0.1,5,0,0,0.0864818989081787,0.0397984531275375,"5xAM","0"
3,103,0.1,5,0,0,0.0954142930276884,0.0458330852815496,"5xAM","0"
4,103,0.1,5,0,0,0.118343124817392,0.0505277621350559,"5xAM","0"
5,103,0.1,5,0,0,0.11695508625818,0.0578621765491912,"5xAM","0"
0,103,0.1,5,0,0,-0.000700177015464411,-0.000907951134709896,"5xAM","0"
1,103,0.1,5,0,0,0.0476842202869656,0.0240876949228929,"5xAM","0"
2,103,0.1,5,0,0,0.0771728150581071,0.0365907312603723,"5xAM","0"
3,103,0.1,5,0,0,0.095864381738535,0.0462561114413786,"5xAM","0"
4,103,0.1,5,0,0,0.105374966682842,0.0503569848135643,"5xAM","0"
5,103,0.1,5,0,0,0.105213689113784,0.0491937448905776,"5xAM","0"
0,103,0.1,5,0,0,-0.0016066931824516,-0.000901052929038173,"5xAM","0"
1,103,0.1,5,0,0,0.0538742127481475,0.0259894069527319,"5xAM","0"
2,103,0.1,5,0,0,0.0875977917512658,0.0413037327638708,"5xAM","0"
3,103,0.1,5,0,0,0.102936792924958,0.0485969811789477,"5xAM","0"
4,103,0.1,5,0,0,0.128303070063886,0.0587101180260945,"5xAM","0"
5,103,0.1,5,0,0,0.116817472226031,0.0581999701777776,"5xAM","0"
0,103,0.1,5,0.05,0,-0.0009568374628585,-0.000793220042441144,"5xAM + VT (5%)","0"
1,103,0.1,5,0.05,0,0.236739124094054,0.0167365008903841,"5xAM + VT (5%)","0"
2,103,0.1,5,0.05,0,0.317247304352489,0.0267929701950945,"5xAM + VT (5%)","0"
3,103,0.1,5,0.05,0,0.351763623371489,0.0318211651119317,"5xAM + VT (5%)","0"
4,103,0.1,5,0.05,0,0.354316318173838,0.03598130578183,"5xAM + VT (5%)","0"
5,103,0.1,5,0.05,0,0.375832364570124,0.0361099977926004,"5xAM + VT (5%)","0"
0,103,0.1,5,0.05,0,0.00257054410594057,0.00104482058443109,"5xAM + VT (5%)","0"
1,103,0.1,5,0.05,0,0.239651034555545,0.0175260402228991,"5xAM + VT (5%)","0"
2,103,0.1,5,0.05,0,0.331919642622267,0.0286915132997096,"5xAM + VT (5%)","0"
3,103,0.1,5,0.05,0,0.360187579018036,0.0333590530931766,"5xAM + VT (5%)","0"
4,103,0.1,5,0.05,0,0.377512356798403,0.038911226638584,"5xAM + VT (5%)","0"
5,103,0.1,5,0.05,0,0.401384626661791,0.0417010363392052,"5xAM + VT (5%)","0"
