"gen","scenario","seed","quantity","h2"
0,"5xAM + GxE",112,"Panmictic (causal var.)",0.502989838686883
1,"5xAM + GxE",112,"Panmictic (causal var.)",0.498297337587339
2,"5xAM + GxE",112,"Panmictic (causal var.)",0.49461517711005
3,"5xAM + GxE",112,"Panmictic (causal var.)",0.489112638339816
4,"5xAM + GxE",112,"Panmictic (causal var.)",0.488959031195731
5,"5xAM + GxE",112,"Panmictic (causal var.)",0.490692282418903
0,"5xAM + VT",112,"Panmictic (causal var.)",0.501791680022152
1,"5xAM + VT",112,"Panmictic (causal var.)",0.438824232601756
2,"5xAM + VT",112,"Panmictic (causal var.)",0.41535255431686
3,"5xAM + VT",112,"Panmictic (causal var.)",0.407566870151306
4,"5xAM + VT",112,"Panmictic (causal var.)",0.406461477076513
5,"5xAM + VT",112,"Panmictic (causal var.)",0.405819741435545
0,"5xAM + VT + GxE",112,"Panmictic (causal var.)",0.502121331085253
1,"5xAM + VT + GxE",112,"Panmictic (causal var.)",0.435779665362333
2,"5xAM + VT + GxE",112,"Panmictic (causal var.)",0.405993343688476
3,"5xAM + VT + GxE",112,"Panmictic (causal var.)",0.395002496093204
4,"5xAM + VT + GxE",112,"Panmictic (causal var.)",0.394748409465933
5,"5xAM + VT + GxE",112,"Panmictic (causal var.)",0.395652943395653
0,"5xAM",113,"Panmictic (causal var.)",0.491224650838095
1,"5xAM",113,"Panmictic (causal var.)",0.485056533339207
2,"5xAM",113,"Panmictic (causal var.)",0.481225420978807
3,"5xAM",113,"Panmictic (causal var.)",0.478730340909289
4,"5xAM",113,"Panmictic (causal var.)",0.4755788732071
5,"5xAM",113,"Panmictic (causal var.)",0.472304082191792
0,"5xAM + GxE",113,"Panmictic (causal var.)",0.495920888784639
1,"5xAM + GxE",113,"Panmictic (causal var.)",0.490045061086665
2,"5xAM + GxE",113,"Panmictic (causal var.)",0.485810513642101
3,"5xAM + GxE",113,"Panmictic (causal var.)",0.481281759252965
4,"5xAM + GxE",113,"Panmictic (causal var.)",0.477565470201446
5,"5xAM + GxE",113,"Panmictic (causal var.)",0.480913506651957
0,"5xAM + VT",113,"Panmictic (causal var.)",0.492775560832618
1,"5xAM + VT",113,"Panmictic (causal var.)",0.430849253748295
2,"5xAM + VT",113,"Panmictic (causal var.)",0.406622009670026
3,"5xAM + VT",113,"Panmictic (causal var.)",0.40110280255558
4,"5xAM + VT",113,"Panmictic (causal var.)",0.394776707969377
5,"5xAM + VT",113,"Panmictic (causal var.)",0.396829628360214
0,"5xAM + VT + GxE",113,"Panmictic (causal var.)",0.493547351888407
