"gen","xAM","outcome","pheno_1","pheno_2","value","se"
4,"2-variate","rgHE","ANX","MDD",0.165794470775818,0.0407499849712449
5,"2-variate","rgHE","ANX","MDD",0.175530735779019,0.0429493444974475
0,"6-variate","rgHE","ANX","MDD",-0.0120052473255554,0.0370103602525279
1,"6-variate","rgHE","ANX","MDD",0.067214301519967,0.0305929152303949
2,"6-variate","rgHE","ANX","MDD",0.136714633196588,0.0382245376764988
3,"6-variate","rgHE","ANX","MDD",0.17410612611488,0.032151004601735
4,"6-variate","rgHE","ANX","MDD",0.195257580604476,0.0378397569843962
5,"6-variate","rgHE","ANX","MDD",0.218897593669773,0.0351336778391054
0,"2-variate","rgtrue","ANX","MDD",-0.00395390918639951,0.0124468421655297
1,"2-variate","rgtrue","ANX","MDD",0.0359909932214812,0.0121395645417765
2,"2-variate","rgtrue","ANX","MDD",0.0581484019548481,0.0141726886481069
3,"2-variate","rgtrue","ANX","MDD",0.0703648546813045,0.0146922096907728
4,"2-variate","rgtrue","ANX","MDD",0.0790934570499456,0.0151619409071255
5,"2-variate","rgtrue","ANX","MDD",0.0868574392375505,0.0158429365195651
0,"6-variate","rgtrue","ANX","MDD",-0.00395390918639951,0.0124468421655297
1,"6-variate","rgtrue","ANX","MDD",0.0352451651289956,0.0127135114055976
2,"6-variate","rgtrue","ANX","MDD",0.0589389176323011,0.0139235713438513
3,"6-variate","rgtrue","ANX","MDD",0.0781445367430847,0.0141190365029484
4,"6-variate","rgtrue","ANX","MDD",0.0899891439692193,0.0152975432469648
5,"6-variate","rgtrue","ANX","MDD",0.0934492755211269,0.0154183767513485
0,"2-variate","gamma","BIP","MDD",0.0159586853281979,0.0889771561103442
1,"2-variate","gamma","BIP","MDD",0.146201585935132,0.0999155240602535
2,"2-variate","gamma","BIP","MDD",0.148888307180185,0.0922339196118282
3,"2-variate","gamma","BIP","MDD",0.199227364263535,0.0893948115497987
4,"2-variate","gamma","BIP","MDD",0.260095324660619,0.117048637622329
5,"2-variate","gamma","BIP","MDD",0.257923351990537,0.111783574408513
0,"6-variate","gamma","BIP","MDD",0.0159586853281979,0.0889771561103442
1,"6-variate","gamma","BIP","MDD",0.130557729701039,0.113128639907564
2,"6-variate","gamma","BIP","MDD",0.223636857131584,0.108157157984159
3,"6-variate","gamma","BIP","MDD",0.303046546623054,0.099233379824716
4,"6-variate","gamma","BIP","MDD",0.363032530524964,0.100618211829672
5,"6-variate","gamma","BIP","MDD",0.408173697411039,0.11804400710805
0,"2-variate","rgHE","BIP","MDD",0.00539447551537172,0.0300768419883669
1,"2-variate","rgHE","BIP","MDD",0.0494203486572055,0.0337743295542681
2,"2-variate","rgHE","BIP","MDD",0.0503285501235312,0.0311777217220178
3,"2-variate","rgHE","BIP","MDD",0.0673446103007093,0.0302180225392972
4,"2-variate","rgHE","BIP","MDD",0.0879197118342856,0.0395658072584273
5,"2-variate","rgHE","BIP","MDD",0.0871855413158184,0.037786072786283
0,"6-variate","rgHE","BIP","MDD",0.00539447551537172,0.0300768419883669
1,"6-variate","rgHE","BIP","MDD",0.0441322842715337,0.0382407451948499
2,"6-variate","rgHE","BIP","MDD",0.0755957024988424,0.03656023304566
3,"6-variate","rgHE","BIP","MDD",0.102438489216184,0.0335437424654229
4,"6-variate","rgHE","BIP","MDD",0.122715449731092,0.0340118564832059
5,"6-variate","rgHE","BIP","MDD",0.137974435416918,0.0399022771977036
0,"2-variate","rgtrue","BIP","MDD",-0.000281965165485848,0.0123918016760507
1,"2-variate","rgtrue","BIP","MDD",0.0214274560291788,0.0120891318038772
2,"2-variate","rgtrue","BIP","MDD",0.0291521802609817,0.0116944537167566
3,"2-variate","rgtrue","BIP","MDD",0.0339266721974193,0.012416693811211
4,"2-variate","rgtrue","BIP","MDD",0.0384110463240428,0.0142987144826039
5,"2-variate","rgtrue","BIP","MDD",0.0414451759984867,0.0138235689305866
0,"6-variate","rgtrue","BIP","MDD",-0.000281965165485848,0.0123918016760507
1,"6-variate","rgtrue","BIP","MDD",0.0172615347437927,0.0133371259928198
2,"6-variate","rgtrue","BIP","MDD",0.0334355735185072,0.0134257060219022
