"beta","T1E","N","m_causal","kpheno","gen","alpha","beta_quantile","N_label"
0.0222109658095071,0.11920510285565,1600000,4000,5,5,5e-08,0.9615,"1,600,000"
0.0222993503109302,0.122623513376831,1600000,4000,5,5,5e-08,0.96175,"1,600,000"
0.0223150836989713,0.123239165862661,1600000,4000,5,5,5e-08,0.962,"1,600,000"
-0.0223243751679213,0.123603759539796,1600000,4000,5,5,5e-08,0.96225,"1,600,000"
-0.0223312094983611,0.123872417680221,1600000,4000,5,5,5e-08,0.9625,"1,600,000"
-0.0223497732359448,0.124604221672765,1600000,4000,5,5,5e-08,0.96275,"1,600,000"
-0.0223626824209258,0.1251148946341,1600000,4000,5,5,5e-08,0.963,"1,600,000"
0.0223799199288142,0.125799067287967,1600000,4000,5,5,5e-08,0.96325,"1,600,000"
-0.0224143820705119,0.127174714203306,1600000,4000,5,5,5e-08,0.9635,"1,600,000"
-0.0224392078393505,0.128172162531198,1600000,4000,5,5,5e-08,0.96375,"1,600,000"
0.0224422249001501,0.128293751047746,1600000,4000,5,5,5e-08,0.964,"1,600,000"
0.0225162714672492,0.131302973055612,1600000,4000,5,5,5e-08,0.96425,"1,600,000"
0.0225428735852368,0.132395878235053,1600000,4000,5,5,5e-08,0.9645,"1,600,000"
-0.0225517767295113,0.132763045668212,1600000,4000,5,5,5e-08,0.96475,"1,600,000"
-0.0225578973273404,0.133015866685972,1600000,4000,5,5,5e-08,0.965,"1,600,000"
-0.0225748793899609,0.133719072253987,1600000,4000,5,5,5e-08,0.96525,"1,600,000"
-0.0226882671906004,0.138479783956453,1600000,4000,5,5,5e-08,0.9655,"1,600,000"
0.0227723590240122,0.142084201335283,1600000,4000,5,5,5e-08,0.96575,"1,600,000"
-0.0228904532639763,0.147252393938701,1600000,4000,5,5,5e-08,0.966,"1,600,000"
0.0229377368965611,0.149356571862186,1600000,4000,5,5,5e-08,0.96625,"1,600,000"
0.0229950212902846,0.151932557513636,1600000,4000,5,5,5e-08,0.9665,"1,600,000"
0.0230357703340664,0.153782833907708,1600000,4000,5,5,5e-08,0.96675,"1,600,000"
-0.0230442606820508,0.154170221503893,1600000,4000,5,5,5e-08,0.967,"1,600,000"
0.0231593884642444,0.159486802918106,1600000,4000,5,5,5e-08,0.96725,"1,600,000"
-0.023190734860175,0.160954916613917,1600000,4000,5,5,5e-08,0.9675,"1,600,000"
-0.0232629742318792,0.164371734755594,1600000,4000,5,5,5e-08,0.96775,"1,600,000"
-0.0232731612165452,0.164857319876706,1600000,4000,5,5,5e-08,0.968,"1,600,000"
-0.02336275928286,0.169168173314283,1600000,4000,5,5,5e-08,0.96825,"1,600,000"
-0.0233848435218713,0.170241736315946,1600000,4000,5,5,5e-08,0.9685,"1,600,000"
-0.0233864792635147,0.170321426515672,1600000,4000,5,5,5e-08,0.96875,"1,600,000"
-0.023423324876293,0.172122802263709,1600000,4000,5,5,5e-08,0.969,"1,600,000"
