"seed","gen","scenario","variable","value","xAM","args_kmate","power"
106,4,"5xAM","h2_true",0.523808090589154,"5-variate xAM",5,"66%"
106,5,"5xAM","h2_true",0.532186397546397,"5-variate xAM",5,"66%"
106,0,"5xAM","h2_true",0.502698268598376,"5-variate xAM",5,"50%"
106,1,"5xAM","h2_true",0.516075442089444,"5-variate xAM",5,"50%"
106,2,"5xAM","h2_true",0.525114309286503,"5-variate xAM",5,"50%"
106,3,"5xAM","h2_true",0.529528865707803,"5-variate xAM",5,"50%"
106,4,"5xAM","h2_true",0.533240594935235,"5-variate xAM",5,"50%"
106,5,"5xAM","h2_true",0.541943622686721,"5-variate xAM",5,"50%"
106,0,"5xAM","h2_true",0.493638579451981,"5-variate xAM",5,"39%"
106,1,"5xAM","h2_true",0.507786500530912,"5-variate xAM",5,"39%"
106,2,"5xAM","h2_true",0.516062139879674,"5-variate xAM",5,"39%"
106,3,"5xAM","h2_true",0.520566426102344,"5-variate xAM",5,"39%"
106,4,"5xAM","h2_true",0.5265734844407,"5-variate xAM",5,"39%"
106,5,"5xAM","h2_true",0.525412182278684,"5-variate xAM",5,"39%"
107,0,"2xAM","h2_true",0.495395022477166,"2-variate xAM",2,"50%"
107,1,"2xAM","h2_true",0.5070102990792,"2-variate xAM",2,"50%"
107,2,"2xAM","h2_true",0.511847098386272,"2-variate xAM",2,"50%"
107,3,"2xAM","h2_true",0.523384722879529,"2-variate xAM",2,"50%"
107,4,"2xAM","h2_true",0.520770653788682,"2-variate xAM",2,"50%"
107,5,"2xAM","h2_true",0.508925611457638,"2-variate xAM",2,"50%"
107,0,"2xAM","h2_true",0.498836404404692,"2-variate xAM",2,"39%"
107,1,"2xAM","h2_true",0.510644112302216,"2-variate xAM",2,"39%"
107,2,"2xAM","h2_true",0.514508916609933,"2-variate xAM",2,"39%"
107,3,"2xAM","h2_true",0.521511535805514,"2-variate xAM",2,"39%"
107,4,"2xAM","h2_true",0.518109823732738,"2-variate xAM",2,"39%"
107,5,"2xAM","h2_true",0.526148216110444,"2-variate xAM",2,"39%"
107,0,"2xAM","h2_true",0.500392443571863,"2-variate xAM",2,"66%"
107,1,"2xAM","h2_true",0.513270225763128,"2-variate xAM",2,"66%"
107,2,"2xAM","h2_true",0.519332536656123,"2-variate xAM",2,"66%"
107,3,"2xAM","h2_true",0.524012148030016,"2-variate xAM",2,"66%"
107,4,"2xAM","h2_true",0.52509663269166,"2-variate xAM",2,"66%"
107,5,"2xAM","h2_true",0.527295487680301,"2-variate xAM",2,"66%"
107,0,"5xAM","h2_true",0.491453008522846,"5-variate xAM",5,"66%"
107,1,"5xAM","h2_true",0.502832049608186,"5-variate xAM",5,"66%"
107,2,"5xAM","h2_true",0.510855778961683,"5-variate xAM",5,"66%"
107,3,"5xAM","h2_true",0.519091111958169,"5-variate xAM",5,"66%"
107,4,"5xAM","h2_true",0.51722341573543,"5-variate xAM",5,"66%"
107,5,"5xAM","h2_true",0.529472457339161,"5-variate xAM",5,"66%"
107,0,"5xAM","h2_true",0.492083637948942,"5-variate xAM",5,"50%"
107,1,"5xAM","h2_true",0.505088491436348,"5-variate xAM",5,"50%"
107,2,"5xAM","h2_true",0.513934467276834,"5-variate xAM",5,"50%"
107,3,"5xAM","h2_true",0.519231171588579,"5-variate xAM",5,"50%"
107,4,"5xAM","h2_true",0.522948563627693,"5-variate xAM",5,"50%"
107,5,"5xAM","h2_true",0.526097040761215,"5-variate xAM",5,"50%"
107,0,"5xAM","h2_true",0.500083295103094,"5-variate xAM",5,"39%"
