"seed","gen","scenario","variable","value","xAM","args_kmate","power"
103,1,"5xAM","rg_true",0.0483357793156954,"5-variate xAM",5,"66%"
103,2,"5xAM","rg_true",0.0818405531948627,"5-variate xAM",5,"66%"
103,3,"5xAM","rg_true",0.107133923948655,"5-variate xAM",5,"66%"
103,4,"5xAM","rg_true",0.120954233989671,"5-variate xAM",5,"66%"
103,5,"5xAM","rg_true",0.129648614312116,"5-variate xAM",5,"66%"
103,0,"5xAM","rg_true",-0.00057473017975562,"5-variate xAM",5,"50%"
103,1,"5xAM","rg_true",0.0454630048914557,"5-variate xAM",5,"50%"
103,2,"5xAM","rg_true",0.0790178931237328,"5-variate xAM",5,"50%"
103,3,"5xAM","rg_true",0.102196005766596,"5-variate xAM",5,"50%"
103,4,"5xAM","rg_true",0.12069972959484,"5-variate xAM",5,"50%"
103,5,"5xAM","rg_true",0.133156984404369,"5-variate xAM",5,"50%"
103,0,"5xAM","rg_true",0.000251779257605863,"5-variate xAM",5,"39%"
103,1,"5xAM","rg_true",0.0457436587886868,"5-variate xAM",5,"39%"
103,2,"5xAM","rg_true",0.0772804571763231,"5-variate xAM",5,"39%"
103,3,"5xAM","rg_true",0.101210053975115,"5-variate xAM",5,"39%"
103,4,"5xAM","rg_true",0.11400188906397,"5-variate xAM",5,"39%"
103,5,"5xAM","rg_true",0.124568224198165,"5-variate xAM",5,"39%"
104,0,"2xAM","rg_true",-0.00122698207571218,"2-variate xAM",2,"50%"
104,1,"2xAM","rg_true",0.049893315199608,"2-variate xAM",2,"50%"
104,2,"2xAM","rg_true",0.0721359663221577,"2-variate xAM",2,"50%"
104,3,"2xAM","rg_true",0.0927514469299737,"2-variate xAM",2,"50%"
104,4,"2xAM","rg_true",0.0966596803073041,"2-variate xAM",2,"50%"
104,5,"2xAM","rg_true",0.0984057346120458,"2-variate xAM",2,"50%"
104,0,"2xAM","rg_true",0.00211490789615627,"2-variate xAM",2,"39%"
104,1,"2xAM","rg_true",0.0506084305701478,"2-variate xAM",2,"39%"
104,2,"2xAM","rg_true",0.0733276369614342,"2-variate xAM",2,"39%"
104,3,"2xAM","rg_true",0.0918697828884419,"2-variate xAM",2,"39%"
104,4,"2xAM","rg_true",0.103360299912542,"2-variate xAM",2,"39%"
104,5,"2xAM","rg_true",0.0933847544661158,"2-variate xAM",2,"39%"
104,0,"2xAM","rg_true",-0.00321212056291505,"2-variate xAM",2,"66%"
104,1,"2xAM","rg_true",0.0479758651830013,"2-variate xAM",2,"66%"
104,2,"2xAM","rg_true",0.0741173310178295,"2-variate xAM",2,"66%"
104,3,"2xAM","rg_true",0.0878752681211613,"2-variate xAM",2,"66%"
104,4,"2xAM","rg_true",0.096706530178841,"2-variate xAM",2,"66%"
104,5,"2xAM","rg_true",0.0961548779294743,"2-variate xAM",2,"66%"
104,0,"5xAM","rg_true",0.000763289564844627,"5-variate xAM",5,"66%"
104,1,"5xAM","rg_true",0.0450411079685143,"5-variate xAM",5,"66%"
104,2,"5xAM","rg_true",0.0791994227693265,"5-variate xAM",5,"66%"
104,3,"5xAM","rg_true",0.102611990812021,"5-variate xAM",5,"66%"
104,4,"5xAM","rg_true",0.114636920805866,"5-variate xAM",5,"66%"
104,5,"5xAM","rg_true",0.127778755192398,"5-variate xAM",5,"66%"
104,0,"5xAM","rg_true",3.25616951039812e-05,"5-variate xAM",5,"50%"
104,1,"5xAM","rg_true",0.0473190802455144,"5-variate xAM",5,"50%"
104,2,"5xAM","rg_true",0.0825748393627015,"5-variate xAM",5,"50%"
104,3,"5xAM","rg_true",0.108450771930869,"5-variate xAM",5,"50%"
104,4,"5xAM","rg_true",0.128087140285128,"5-variate xAM",5,"50%"
104,5,"5xAM","rg_true",0.135807587923434,"5-variate xAM",5,"50%"
104,0,"5xAM","rg_true",-0.000116670700334645,"5-variate xAM",5,"39%"
104,1,"5xAM","rg_true",0.0478812547495755,"5-variate xAM",5,"39%"
104,2,"5xAM","rg_true",0.0823309212519669,"5-variate xAM",5,"39%"
104,3,"5xAM","rg_true",0.104106213515824,"5-variate xAM",5,"39%"
104,4,"5xAM","rg_true",0.120763867111474,"5-variate xAM",5,"39%"
104,5,"5xAM","rg_true",0.129911858099518,"5-variate xAM",5,"39%"
105,0,"2xAM","rg_true",0.00193131846663,"2-variate xAM",2,"50%"
105,1,"2xAM","rg_true",0.0499536405431293,"2-variate xAM",2,"50%"
105,2,"2xAM","rg_true",0.0827810805369507,"2-variate xAM",2,"50%"
105,3,"2xAM","rg_true",0.0961675416233038,"2-variate xAM",2,"50%"
105,4,"2xAM","rg_true",0.101132587522561,"2-variate xAM",2,"50%"
105,5,"2xAM","rg_true",0.102540521838678,"2-variate xAM",2,"50%"
105,0,"2xAM","rg_true",0.000898635588417251,"2-variate xAM",2,"39%"
105,1,"2xAM","rg_true",0.0480933383802773,"2-variate xAM",2,"39%"
105,2,"2xAM","rg_true",0.0703408120483976,"2-variate xAM",2,"39%"
105,3,"2xAM","rg_true",0.0854154050647393,"2-variate xAM",2,"39%"
105,4,"2xAM","rg_true",0.105129948979066,"2-variate xAM",2,"39%"
105,5,"2xAM","rg_true",0.102859856509556,"2-variate xAM",2,"39%"
105,0,"2xAM","rg_true",0.00225055470120238,"2-variate xAM",2,"66%"
105,1,"2xAM","rg_true",0.044770262086738,"2-variate xAM",2,"66%"
105,2,"2xAM","rg_true",0.0702270208212118,"2-variate xAM",2,"66%"
105,3,"2xAM","rg_true",0.0934775369743019,"2-variate xAM",2,"66%"
105,4,"2xAM","rg_true",0.0932592612570603,"2-variate xAM",2,"66%"
105,5,"2xAM","rg_true",0.110081311006463,"2-variate xAM",2,"66%"
105,0,"5xAM","rg_true",-0.00106582642146335,"5-variate xAM",5,"66%"
105,1,"5xAM","rg_true",0.0437132795254832,"5-variate xAM",5,"66%"
105,2,"5xAM","rg_true",0.0771863662572039,"5-variate xAM",5,"66%"
105,3,"5xAM","rg_true",0.0998474898669768,"5-variate xAM",5,"66%"
105,4,"5xAM","rg_true",0.113292561753567,"5-variate xAM",5,"66%"
105,5,"5xAM","rg_true",0.120887755965565,"5-variate xAM",5,"66%"
105,0,"5xAM","rg_true",-0.000291173021190515,"5-variate xAM",5,"50%"
105,1,"5xAM","rg_true",0.0478376642495922,"5-variate xAM",5,"50%"
105,2,"5xAM","rg_true",0.081800901488774,"5-variate xAM",5,"50%"
105,3,"5xAM","rg_true",0.106201850653125,"5-variate xAM",5,"50%"
105,4,"5xAM","rg_true",0.121741205405576,"5-variate xAM",5,"50%"
105,5,"5xAM","rg_true",0.136582817465067,"5-variate xAM",5,"50%"
105,0,"5xAM","rg_true",-0.000120415341553041,"5-variate xAM",5,"39%"
105,1,"5xAM","rg_true",0.0486058029506837,"5-variate xAM",5,"39%"
105,2,"5xAM","rg_true",0.081649282988704,"5-variate xAM",5,"39%"
105,3,"5xAM","rg_true",0.104201018250411,"5-variate xAM",5,"39%"
105,4,"5xAM","rg_true",0.1200570195665,"5-variate xAM",5,"39%"
105,5,"5xAM","rg_true",0.131518985485749,"5-variate xAM",5,"39%"
106,0,"2xAM","rg_true",0.000260275559381544,"2-variate xAM",2,"50%"
106,1,"2xAM","rg_true",0.0482842374190538,"2-variate xAM",2,"50%"
106,2,"2xAM","rg_true",0.0777808487700583,"2-variate xAM",2,"50%"
106,3,"2xAM","rg_true",0.0966120360592749,"2-variate xAM",2,"50%"
